,시군구,약국명칭,주소,전화번호
98,강남구,타조약국,서울특별시 강남구 청담동 47번지 3호 청담빌딩 1층,3445-0997
99,강남구,오월애약국,서울특별시 강남구 신사동 501번지 신사미타워 102호,544-0519
100,강남구,에메랄드약국,서울특별시 강남구 논현동 4번지 1층,
101,강남구,도심공항약국,서울특별시 강남구 삼성1동 159번지 6호 2층 D-1호,554-4906
102,강남구,사랑플러스약국,서울특별시 강남구 도곡동 527번지 3호 도곡렉슬상가   313호,2058-2745
103,강남구,조은온누리약국,서울특별시 강남구 개포동 12번지 4호 석탑프라자 304호,02-2226-7671
104,강남구,영양과건강약국,서울특별시 강남구 논현동 143번지 은훈빌딩 202호,3445-6625
105,강남구,갤러리약국,서울특별시 강남구 논현동 158번지 106호,6227-5578
106,강남구,힙스앤립스약국,,
107,강남구,123약국,서울특별시 강남구 도곡동 467번지 19호 410호 일부,574-7123
108,강남구,강남봄약국,서울특별시 강남구 역삼동 826번지 37호 지하1층 140호,02-557-9480
109,강남구,와이약국,서울특별시 강남구 역삼동 820번지 8호  1층  104호,
110,강남구,청담본약국,서울특별시 강남구 청담동 71번지 25호 1층 일부,540-1038
111,강남구,선 한약국,서울특별시 강남구 논현1동 192번지 16호 승진빌딩 1층,547-9504
112,강남구,미네랄약국,서울특별시 강남구 논현2동 241번지 3호 SK허브빌딩 308-1호,545-3404
113,강남구,바이올렛약국,서울특별시 강남구 역삼동 832번지 6층,3452-6007
114,강남구,메디칼정성약국,서울특별시 강남구 율현동 232번지 107호,459-6772
115,강남구,중외약국,서울특별시 강남구 논현동 145번지 16호,549-1771
116,강남구,감마약국,서울특별시 강남구 신사동 661번지 101호,547-8990
117,강남구,우창약국,서울특별시 강남구 논현1동 193번지 8호,549-9536
118,강남구,청담케이팜약국,서울특별시 강남구 신사동 666번지 16호 1층,070-4125-7407
119,강남구,개나리봄약국,서울특별시 강남구 역삼동 755번지 2층 26호,02-501-8284
120,강남구,은혜약국,서울특별시 강남구 수서동 713번지 수서현대벤쳐빌 220-2호,6289-8767
121,강남구,세진약국,신사동 620-1 1층(103호),545-8548
122,강남구,미진약국,서울특별시 강남구 역삼동 825번지 미진프라자 B1-5호,566-1954
123,강남구,강남백세약국,서울특별시 강남구 대치동 1021번지 2호 1층 일부,566-3138
124,강남구,서울세연약국,서울특별시 강남구 도곡동 542번지 6호 지하1층,02-492-0585
125,강남구,온정약국,서울특별시 강남구 논현동 216번지 5호 외 2필지 1층일부,3446-2147
126,강남구,국송약국,서울특별시 강남구 수서동 707번지 주공A1단지상가 108호,459-1445
127,강남구,왕성약국,서울특별시 강남구 논현동 121번지,547-4561
128,강남구,나무약국,서울특별시 강남구 대치4동 907-16,561-2095
129,강남구,강남메디칼약국,서울특별시 강남구 대치동 1019번지 1호,568-6644
130,강남구,싱싱약국,서울특별시 강남구 역삼동 683번지 10호 1층 일부,070-8851-3202
131,강남구,대치필리아약국,서울특별시 강남구 대치동 935번지 36호 104호,508-6116
132,강남구,지영온누리약국,서울특별시 강남구 대치2동 994번지 8호 서림상가 101호,554-5621
133,강남구,스템약국,서울특별시 강남구 청담동 120번지 3호 1층,548-8781
134,강남구,압구정프라자온누리약국,서울특별시 강남구 신사동 582번지 10호 계룡빌딩 1층,511-3801
135,강남구,다정온누리약국,서울특별시 강남구 역삼동 641번지 20호 3층,070-7769-8275
136,강남구,베어약국,서울특별시 강남구 삼성동 163번지 3호 지하1층,02-0000-0000
137,강남구,용모준수 한약국,서울특별시 강남구 대치동 939번지 28호 104호,555-6880
138,강남구,청담와이약국,서울특별시 강남구 청담동 118번지 17호 B104호,512-7262
139,강남구,건강한세상행복한약국,서울특별시 강남구 논현동 199번지 외1필지 대남빌딩 1층,545-0026
140,강남구,수서메디칼약국,서울특별시 강남구 수서동 수서현대벤쳐빌 210호,2040-6799
141,강남구,참약국,서울특별시 강남구 일원본동 715번지 1호 지하1층 103호,3412-2577
142,강남구,동현당약국,서울특별시 강남구 논현동 105번지,547-8207
143,강남구,수서홍약국,서울특별시 강남구 수서동 716번지 사이룩스오피스텔 서관동 1층 101호,02
144,강남구,창현약국,서울특별시 강남구 신사동 665번지 6호,542-7658
145,강남구,금강약국,서울특별시 강남구 압구정동 426번지 현대아파트 9차상가 1-7호,544-5527
146,강남구,대치참약국,서울특별시 강남구 대치동 622번지 대치 클래시아 204호 205호,501-5920
147,강남구,영진약국,서울특별시 강남구 청담동 44번지 11호 원영빌딩 1층 일부,545-3121
148,강남구,메디홈약국,서울특별시 강남구 청담동 72번지 1호 1층,545-0654
149,강남구,메디팜정연약국,서울특별시 강남구 도곡동 952번지 대우양재디오빌  103호,522-5925
150,강남구,신혜성약국,서울특별시 강남구 역삼동 747번지 26호 1층 일부,558-6338~9
151,강남구,해성약국,서울특별시 강남구 대치동 942번지 지하,528-3528
152,강남구,삼우약국,서울특별시 강남구 개포동 186번지 3호 101호,3411-0841
153,강남구,세곡리엔약국,서울특별시 강남구 세곡동 세곡택지개발지구 근생 2블록 2-1 2로트 1층 108호,445-8604
154,강남구,열린약국,서울특별시 강남구 일원동 715번지 1호 신영프라자 1층(101호102호103호) 지하1층(1호 2호일부3호일부),3411-1007
155,강남구,케이팜약국,서울특별시 강남구 대치4동 938외1필지 삼환아르누보2 107호,501-5779
156,강남구,학동약국,서울특별시 강남구 논현동 87번지 7호,02-3443-8575
157,강남구,채움약국,서울특별시 강남구 신사동 620번지 103호,070-4671-3893
158,강남구,강남허브약국,서울특별시 강남구 논현동 241번지 3호 SK허브빌딩  109호,3014-9272
159,강남구,성지프라자약국,서울특별시 강남구 역삼동 642번지 6호 외 5필지 성지하이츠3차  지하1층 5호,565-5646
160,강남구,샘약국,서울특별시 강남구 역삼동 707번지 34호 외 11필지 한신인터밸리24 102호,558-3347
161,강남구,라라약국,서울특별시 강남구 역삼동 648번지 22호 지하1층,070-7705-7337
162,강남구,팜스약국,서울특별시 강남구 역삼동 642번지 10호 1층 1호,552-8284
163,강남구,청담장수 한약국,서울특별시 강남구 청담동 124번지 18호 2층 일부,542-9828
164,강남구,양재소화약국,서울특별시 강남구 도곡1동 924번지 2호,575-3766
165,강남구,논현필리아약국,서울특별시 강남구 논현동 254번지 29호 1층 일부,540-7582
166,강남구,타임약국,서울특별시 강남구 역삼동 708번지 26호 1층,02
167,강남구,준약국,서울특별시 강남구 논현동 55번지 3호 지하1층 일부,516-5357
168,강남구,온누리새재원약국,서울특별시 강남구 도곡1동 955번지 18호,3463-6647
169,강남구,튼튼중앙약국,서울특별시 강남구 개포동 12번지 4호 석탑프라자 305-1호,02-451-0530
170,강남구,메디칼미래약국,서울특별시 강남구 개포동 186번지 1호 306호,445-1342
171,강남구,청담수약국,서울특별시 강남구 청담동 45번지 4호 102호,548-8322
172,강남구,서울메디약국,서울특별시 강남구 대치4동 908번지 2호   104호,501-5063
173,강남구,아름다운우리약국,서울특별시 강남구 역삼1동 797번지 16호,564-7582
174,강남구,종원약국,서울특별시 강남구 논현동 185번지,548-8969
175,강남구,기쁨약국,서울특별시 강남구 개포4동 1217번지,574-1087
176,강남구,장생당약국,서울특별시 강남구 대치2동 943번지 16호,558-5476
177,강남구,상록약국,서울특별시 강남구 역삼1동 701번지 상록회관 내,563-6625
178,강남구,인터팜이화약국,서울특별시 강남구 논현동 63번지 102-4호,541-5434
179,강남구,한솔인유로온누리약국,서울특별시 강남구 역삼동 755번지 한솔필리아 2층 25호,3453-8171
180,강남구,국풍당약국,서울특별시 강남구 삼성동 9번지 예인빌딩 1층,540-4556
181,강남구,강남제일약국,서울특별시 강남구 역삼동 646번지 9호,555-7790
182,강남구,제이약국,서울특별시 강남구 역삼동 821번지 B101호,566-1259
183,강남구,정약국,서울특별시 강남구 논현동 278번지 22호 지하1층 일부,3445-0453
184,강남구,좋은아침약국,서울특별시 강남구 역삼1동 738번지 6호 은혜빌딩 5층,3453-3424
185,강남구,희병약국,서울특별시 강남구 논현동 277번지 1층,545-0429
186,강남구,주민약국,서울특별시 강남구 일원1동 683번지,445-2851
187,강남구,정일약국,서울특별시 강남구 대치1동 1021번지 6호 정일빌딩 102호,501-8071
188,강남구,자인한약국,역삼2동 756-18 1층 마호,3453-7510
189,강남구,해오름약국,서울특별시 강남구 삼성동 49번지 7호 1층,545-7617
190,강남구,청솔한약국,논현1동 166-7 301호,546-3371
191,강남구,삼성건강약국,서울특별시 강남구 삼성동 1번지 4호 1층 일부,517-3520
192,강남구,구마을약국,서울특별시 강남구 개포동 167번지 4호 108호,576-4469
193,강남구,강남우리온누리약국,서울특별시 강남구 삼성동 141번지 33호 리치타워 101호,572-1452
194,강남구,대왕약국,서울특별시 강남구 세곡동 124번지 2호 1층,2226-7976
195,강남구,제일그랜드약국,서울특별시 강남구 논현1동 200번지,546-0093
196,강남구,압구정소망약국,서울특별시 강남구 신사동 619번지 6호,518-7270
197,강남구,윈플러스약국,서울특별시 강남구 대치동 507번지 윈플러스상가  108호,568-3240
198,강남구,수약국,서울특별시 강남구 역삼동 757번지 역삼래미안상가동 104호,563-1601
199,강남구,옵티마미소약국,서울특별시 강남구 역삼동 650번지 여송빌딩 1층 일부,554-1383
200,강남구,성일온누리약국,서울특별시 강남구 신사동 609번지 1호 미승빌딩 302호 일부,546-3906
201,강남구,나리약국,서울특별시 강남구 대치동 1022번지 2호 105호,565-6645
202,강남구,광성약국,서울특별시 강남구 논현동 164번지,548-7304
203,강남구,노벨약국,서울특별시 강남구 논현2동 111번지 13호,544-5070
204,강남구,압구정화이트약국,서울특별시 강남구 신사동 609번지 1호 102호,515-8715
205,강남구,강남퍼스트약국,서울특별시 강남구 논현동 1번지 1호 1층,515-7292
206,강남구,프리모약국,서울특별시 강남구 도곡동 953번지 1호 양재SK허브프리모상가 314호,529-3800
207,강남구,세종약국,서울특별시 강남구 수서동 714번지 1호 주영빌딩 1층,459-9464
208,강남구,베스트약국,서울특별시 강남구 대치동 939번지 28호 1층 일부,511-3239
209,강남구,자연애약국,서울특별시 강남구 삼성동 117번지 105호,567-8413
210,강남구,역삼이화약국,서울특별시 강남구 역삼동 769번지 1층,3288-8620
211,강남구,수서역약국,서울특별시 강남구 수서동 728번지 수서역 339-111호,3412-5533
212,강남구,비원약국,서울특별시 강남구 신사동 591번지 1층 일부,541-6939
213,강남구,일원시장약국,서울특별시 강남구 일원동 643번지 5호,459-4465
214,강남구,호산나약국,서울특별시 강남구 신사동 617번지 5호,543-6965
215,강남구,미성약국,서울특별시 강남구 압구정동 415번지 미성상가 101호,544-8275
216,강남구,이즈약국,서울특별시 강남구 신사동 597번지 15호 금강빌딩 1층,541-4101
217,강남구,참좋은약국,서울특별시 강남구 삼성동 158번지 10호 마젤란21상가 103호,508-1363
218,강남구,가로수길약국,서울특별시 강남구 신사동 528번지 3호,518-4201
219,강남구,리본약국,서울특별시 강남구 논현동 5번지 7호 1층 일부호,
220,강남구,프라임엠약국,서울특별시 강남구 대치동 961번지 1층 일부,3288-9772
221,강남구,씨티약국,서울특별시 강남구 역삼동 816번지 3호 1층,553-1608
222,강남구,바른약국,서울특별시 강남구 신사동 561번지 31호 1층,547-2744
223,강남구,미본한약국,서울특별시 강남구 신사동 565번지 7호 3층,544-4970
224,강남구,은마수약국,서울특별시 강남구 대치동 316번지 은마상가에이블럭 174호,501-2085
225,강남구,압구정늘푸른약국,서울특별시 강남구 신사동 638번지 2호 반도상가 101호,516-8753
226,강남구,행복한미래약국,서울특별시 강남구 논현동 90번지 1호 2층 일부,515-3800
227,강남구,행복한수약국,서울특별시 강남구 역삼동 814번지 1호 2층 일부,558-7430
228,강남구,화일약국,서울특별시 강남구 대치동 921번지 5호 1층 6호 7호,362-8631
229,강남구,삼성수약국,서울특별시 강남구 삼성동 155번지 11호 1층,555-5505
230,강남구,그린약국,서울특별시 강남구 신사동 584번지 2호 우진빌딩 1층 일부,543-1275
231,강남구,화인약국,서울특별시 강남구 역삼동 826번지 24호 5층 일부,501-7712
232,강남구,희영온누리약국,서울특별시 강남구 삼성동 50번지 2호 힐스테이트상가2단지상가동 204-1,547-1950
233,강남구,다현약국,서울특별시 강남구 신사동 612번지 2호 1층 2호,543-3188
234,강남구,스타약국,서울특별시 강남구 도곡동 957번지 11호 2층,3462-3030
235,강남구,경아의희망담은한약국,서울특별시 강남구 역삼동 732번지 3호 2층,02-567-7598
236,강남구,장약국,서울특별시 강남구 논현동 209번지 삼환아르누보  B109호,070-8808-8547
237,강남구,이레약국,서울특별시 강남구 대치동 922번지 24호 201-2호,557-4244
238,강남구,코끼리약국,서울특별시 강남구 논현동 2번지 KBL센터 지하101호,512-0380
239,강남구,상지온누리약국,서울특별시 강남구 역삼동 696번지 18호,554-0624
240,강남구,대치메디칼약국,서울특별시 강남구 대치동 605번지 1층,569-1137
241,강남구,드림케어약국,서울특별시 강남구 신사동 579번지 3호 베네하임시티 1층  107호,070-8840-2878
242,강남구,민생약국,서울특별시 강남구 논현2동 211번지 11호,547-7903
243,강남구,센느약국,서울특별시 강남구 논현동 164번지 2호 101호,02-540-0994
244,강남구,이층엔약국,서울특별시 강남구 자곡동 596번지 강남더샵라르고오피스텔 210호,2226-2212
245,강남구,이층엔약국,서울특별시 강남구 자곡동 596번지 강남더샵라르고 오피스텔 210호,2226-2212
246,강남구,골드로즈약국,서울특별시 강남구 대치동 890번지 59호 선릉역롯데골드로즈2  318일부호,567-3609
247,강남구,테헤란한서약국,서울특별시 강남구 역삼동 718번지 1호 1층 1호,569-2775
248,강남구,행복한온누리약국,서울특별시 강남구 도곡동 544번지 107호,578-8791
249,강남구,오렌지약국,서울특별시 강남구 논현동 4번지 1호 대영빌딩 1층 일부,518-2022
250,강남구,스카이약국,서울특별시 강남구 역삼동 765번지 2호 백림빌딩 2층 일부,553-8890
251,강남구,압구정스타약국,서울특별시 강남구 신사동 572번지 2호 102호,548-9467
252,강남구,신한약국,서울특별시 강남구 대치동 987번지 14호 2층 일부,567-5738
253,강남구,햇빛약국,서울특별시 강남구 자곡동 638번지 107호,459-3353
254,강남구,성심약국,서울특별시 강남구 개포동 1258번지 1호,3463-0689
255,강남구,샬롬온누리약국,서울특별시 강남구 역삼동 718번지 9호 1층 일부,555-8678
256,강남구,파랑새약국,서울특별시 강남구 일원동 684번지 6호 대청빌딩 1층,3412-1555
257,강남구,샛별약국,서울특별시 강남구 도곡동 959번지 22호 1층,576-1149
258,강남구,대치약국,서울특별시 강남구 대치동 906번지 23호 1층 일부,558-0822
259,강남구,튼튼약국,서울특별시 강남구 수서동 595번지 202호,451-9111
260,강남구,독수리약국,서울특별시 강남구 일원동 715번지 1호 106호,02-459-8863
261,강남구,뽀빠이약국,서울특별시 강남구 신사동 610번지 14호 1층,070-8870-7582
262,강남구,삼성강남약국,서울특별시 강남구 일원동 715번지 1호 107호,02-6959-0293
263,강남구,선능약국,서울특별시 강남구 역삼동 682번지 17호 1층,555-8475
264,강남구,논현천사약국,서울특별시 강남구 논현동 234번지 28호 1층,02-541-2953
265,강남구,경희서울한약국,서울특별시 강남구 신사동 566번지 8호,02-3295-4588
266,강남구,삼성도담약국,서울특별시 강남구 삼성동 49번지 12호 1층,543-6610
267,강남구,팜메이트수정약국,서울특별시 강남구 대치동 921번지 103호,562-2757
268,강남구,여기애가까운약국,서울특별시 강남구 신사동 583번지 1호 1층,546-5369
269,강남구,압구정미약국,서울특별시 강남구 신사동 577번지 1층,548-0085
270,강남구,영지약국,서울특별시 강남구 청담동 50번지 3호 1층,547-3443
271,강남구,팜엑스약국,서울특별시 강남구 삼성동 159번지 H112호,6002-3060
272,강남구,청담별빛약국,서울특별시 강남구 청담동 47번지 5호 정한빌딩 1층 103호,02
273,강남구,약손메디칼약국,서울특별시 강남구 도곡동 538번지 1호,02-529-3010
274,강남구,메디팜무지개약국,서울특별시 강남구 신사동 567번지 23호 1층 일부,515-7533
275,강남구,하나약국,서울특별시 강남구 신사동 616번지 2호 우미빌딩 208호,543-6650
276,강남구,뉴욕약국,서울특별시 강남구 역삼동 822번지 2호 1층 일부,070-4147-3039
277,강남구,압구정드림약국,서울특별시 강남구 신사동 664번지 1호 103호,070-4135-2497
278,강남구,두리약국,서울특별시 강남구 일원동 684번지 1층,445-3188
279,강남구,중앙약국,서울특별시 강남구 신사동 665번지 6호 1층 5호,542-6354
280,강남구,센트럴약국,서울특별시 강남구 논현동 235번지 10호 1층,549-1210
281,강남구,트리플약국,서울특별시 강남구 논현동 1번지 3호 렉스타워 1층 일부,517-5256
282,강남구,압구정제이약국,서울특별시 강남구 신사동 577번지 5호 105호,514-7999
283,강남구,7층애약국,서울특별시 강남구 대치동 891번지 42호 현빌딩 7층 일부,567-0409
284,강남구,온누리타워약국,서울특별시 강남구 대치동 946번지 1호 지하1층,562-1840
285,강남구,이즈타워약국,서울특별시 강남구 역삼동 821번지 이즈타워빌딩 지하1층 103호,501-9478
286,강남구,일원역약국,서울특별시 강남구 일원동 717번지 일원역구내 348-1호,451-8233
287,강남구,삼성해든약국,서울특별시 강남구 삼성동 156번지 5호 1층,02-562-0361
288,강남구,압구정원약국,서울특별시 강남구 신사동 549번지 6호 1층,544-5605
289,강남구,은혜온누리약국,서울특별시 강남구 대치동 500번지 우성아파트상가 117호 118호,564-5674
290,강남구,온누리우인약국,서울특별시 강남구 일원동 684번지 2호,2226-7141
291,강남구,명문약국,서울특별시 강남구 일원동 711번지 1호 수서1단지아파트상가 101호,459-3312
292,강남구,강남미소약국,서울특별시 강남구 역삼동 829번지 10호 1층일부,
293,강남구,오늘약국,서울특별시 강남구 대치동 941번지 23호 2층 201호 일부,556-3695
294,강남구,초원약국,서울특별시 강남구 역삼동 667번지 17호 1층,02-556-5656
295,강남구,종로약국,서울특별시 강남구 대치동 939번지 20호 1층,508-2450
296,강남구,이대학약국,서울특별시 강남구 일원본동 715번지 1호 신영프라자 105호 202호,445-1558
297,강남구,영동약국,서울특별시 강남구 논현동 143번지 14호 1층,540-5485
298,강남구,동인프라자온누리약국,서울특별시 강남구 수서동 713번지 수서현대벤쳐빌 117-2호,3411-3388
299,강남구,도움약국,서울특별시 강남구 압구정동 455번지 주구센타 103호,542-2333
300,강남구,부활약국,서울특별시 강남구 삼성동 106번지 풍림아파트상가 103호,545-0164
301,강남구,수서옵티마약국,서울특별시 강남구 수서동 714번지 1층 108호,3412-7430
302,강남구,가온약국,서울특별시 강남구 청담동 44번지 15호 2층,
303,강남구,청담이화약국,서울특별시 강남구 삼성동 7번지 3호 래미안삼성2차아파트상가동 209호,545-2929
304,강남구,옵티마대영약국,서울특별시 강남구 삼성동 65번지 삼성빌딩 106호 107호,514-7850
